"bar_id","B","H","start_node","x1","y1","z1","end_node","x2","y2","z2"
"2104","0.4","0.7","2006","38.332","6.472","6","2113","38.332","9.722","6"
"2105","0.4","0.7","2113","38.332","9.722","6","2116","38.332","12.972","6"
"2032","0.4","0.7","2033","41.40107446","23.74090426","6","2208","36.329","24.936","6"
"2033","0.4","0.7","2279","37.78669537","29.26283708","6","2253","41.759","28.414","6"
"2040","0.5","0.6","2033","41.40107446","23.74090426","6","2105","41.617","24.789","6"
"2087","0.25","0.4","2279","37.78669537","29.26283708","6","2207","38.392","31.06","6"
"2228","0.3","0.4","2137","13.733","15.641","6","2191","14.755","14.587","6"
"2229","0.3","0.4","2191","14.755","14.587","6","2080","16.033","13.269","6"
"2230","0.3","0.4","2191","14.755","14.587","6","2149","17.487","17.07","6"
"2231","0.4","0.7","2128","14.596","9.353","6","2192","15.723","9.905","6"
"2232","0.4","0.7","2192","15.723","9.905","6","2079","16.033","10.057","6"
"2233","0.4","0.7","2129","7.548","23.472","6","2139","9.918","24.632","6"
"2234","0.4","0.7","2130","8.975","20.613","6","2138","10.622","21.42","6"
"2235","0.4","0.7","2131","10.44681455","17.66834469","6","2136","11.911","18.387","6"
"2236","0.4","0.7","2193","7.05971719","12.38434986","6","2132","11.903","14.747","6"
"2237","0.4","0.7","2132","11.903","14.747","6","2137","13.733","15.641","6"
"2238","0.3","0.4","2194","10.712","10.664","6","2127","11.981","8.073","6"
"2239","0.4","0.7","2194","10.712","10.664","6","2133","13.308","11.934","6"
"2240","0.3","0.4","2195","7.32","11.852","6","2196","8.445","9.554","6"
"2241","0.4","0.7","2065","7.794","9.235","6","2196","8.445","9.554","6"
"2242","0.4","0.7","2196","8.445","9.554","6","2194","10.712","10.664","6"
"2243","0.4","0.7","2133","13.308","11.934","6","2197","15.283","12.901","6"
"2244","0.4","0.7","2197","15.283","12.901","6","2080","16.033","13.269","6"
"2245","0.4","0.7","2066","9.143","6.476","6","2198","12.58774677","6.47566667","6"
"2246","0.3","0.4","2127","11.981","8.073","6","2198","12.58774677","6.47566667","6"
"2247","0.3","0.5","2068","6.409","12.064","6","2065","7.794","9.235","6"
"2248","0.3","0.5","2132","11.903","14.747","6","2199","12.167","14.219","6"
"2249","0.3","0.5","2199","12.167","14.219","6","2133","13.308","11.934","6"
"2250","0.4","0.7","2068","6.409","12.064","6","2193","7.05971719","12.38434986","6"
"2252","0.4","0.7","2066","9.143","6.476","6","2151","10.474","3.755","6"
"2253","0.4","0.7","2151","10.474","3.755","6","2152","11.751","1.143","6"
"2254","0.4","0.7","2152","11.751","1.143","6","2073","12.31","0","6"
"2255","0.3","0.6","2074","16.033","-0.0005","6","2153","16.033","3.237","6"
"2256","0.3","0.6","2153","16.033","3.237","6","2078","16.033","6.474","6"
"2257","0.3","0.6","2074","16.033","-0.0005","6","2154","19.062","-0.001","6"
"2258","0.3","0.6","2154","19.062","-0.001","6","2081","22.091","-0.0005","6"
"2259","0.3","0.6","2081","22.091","-0.0005","6","2156","24.649","-0.002","6"
"2260","0.3","0.6","2156","24.649","-0.002","6","2164","27.207","-0.002","6"
"2261","0.3","0.6","2082","22.091","6.474","6","2157","24.649","6.473","6"
"2262","0.3","0.6","2157","24.649","6.473","6","2025","27.207","6.473","6"
"2263","0.25","0.4","2158","24.649","9.473","6","2026","27.207","9.473","6"
"2264","0.3","0.5","2114","30.332","16.216","6","2201","33.392","16.216","6"
"2265","0.3","0.5","2201","33.392","16.216","6","2109","36.741","16.049","6"
"2266","0.3","0.5","2029","34.332","12.9725","6","2201","33.392","16.216","6"
"2267","0.3","0.5","2163","42.20930087","33.0461111","6","8103","44.184","31.49","6"
"2268","0.3","0.6","2204","46.335","34.216","6","2060","47.361","35.517","6"
"2269","0.3","0.6","2053","45.38283206","33.00913189","6","2204","46.335","34.216","6"
"2270","0.3","0.6","2203","44.56500001","31.973","6","2053","45.38283206","33.00913189","6"
"2271","0.3","0.5","2205","32.699","35.548","6","2177","33.846","34.643","6"
"2272","0.3","0.5","2177","33.846","34.643","6","2206","36.342","32.675","6"
"2273","0.3","0.5","2206","36.342","32.675","6","2207","38.392","31.06","6"
"2227","0.3","0.6","8103","44.184","31.49","6","2203","44.56500001","31.973","6"
"2274","0.4","0.7","2209","35.453","22.334","6","2103","40.35","20.684","6"
"2251","0.4","0.7","2126","34.53554686","19.61074825","6","2111","38.789","18.177","6"
"2275","0.25","0.4","2209","35.453","22.334","6","2208","36.329","24.936","6"
"2276","0.25","0.4","2208","36.329","24.936","6","2279","37.78669537","29.26283708","6"
"2001","0.4","0.7","2103","40.35","20.684","6","2001","44.7135","18.565","6"
"2002","0.4","0.7","2001","44.7135","18.565","6","2101","49.077","16.446","6"
"2003","0.4","0.7","673","50.831","21.519","6","2002","46.11795198","22.62950097","6"
"2004","0.4","0.7","2002","46.11795198","22.62950097","6","2033","41.40107446","23.74090426","6"
"2005","0.4","0.7","2253","41.759","28.414","6","2003","46.78274959","27.34048089","6"
"2006","0.4","0.7","2003","46.78274959","27.34048089","6","2021","51.811","26.266","6"
"2011","0.25","0.5","2253","41.759","28.414","6","671","46.43175052","24.86256538","6"
"2012","0.25","0.5","671","46.43175052","24.86256538","6","673","50.831","21.519","6"
"2007","0.3","0.5","2002","46.11795198","22.62950097","6","671","46.43175052","24.86256538","6"
"2008","0.3","0.5","671","46.43175052","24.86256538","6","2003","46.78274959","27.34048089","6"
"32","0.4","0.5","2035","16.62","35.662","6","23257","17.199","36.377","6"
"47","0.4","0.5","23257","17.199","36.377","6","23549","18.0378644","37.16634976","6"
"95","0.4","0.5","128","19.73607712","34.35166593","6","2218","20.073","34.708","6"
"98","0.3","0.6","2099","20.705","39.14","6","51","22.94454417","36.67555404","6"
"178","0.4","0.5","51","22.94454417","36.67555404","6","2221","23.923","37.11","6"
"100508","0.3","0.6","23255","8.789","42.999","6","23253","12.556","40.035","6"
"100509","0.3","0.6","23253","12.556","40.035","6","23257","17.199","36.377","6"
"100511","0.3","0.6","23260","11.508","46.449","6","23150","16.035","42.82","6"
"100512","0.3","0.6","23150","16.035","42.82","6","2099","20.705","39.14","6"
"100514","0.3","0.6","23261","14.32","50.02","6","23259","18.087","47.056","6"
"100515","0.3","0.6","23259","18.087","47.056","6","23251","22.014","43.962","6"
"100516","0.3","0.6","23251","22.014","43.962","6","2064","25.939","40.867","6"
"100517","0.3","0.6","23254","18.839","55.755","6","23258","22.603","52.79","6"
"100518","0.3","0.6","23258","22.603","52.79","6","23256","26.53","49.696","6"
"100519","0.3","0.6","23256","26.53","49.696","6","23252","30.457","46.602","6"
"100520","0.4","0.7","2122","29.56150841","45.46659966","6","23252","30.457","46.602","6"
"100521","0.3","0.5","23255","8.789","42.999","6","23260","11.508","46.449","6"
"100522","0.3","0.5","23260","11.508","46.449","6","23261","14.32","50.02","6"
"100523","0.3","0.6","23261","14.32","50.02","6","23254","18.839","55.755","6"
"100526","0.3","0.5","23253","12.556","40.035","6","23150","16.035","42.82","6"
"100527","0.3","0.5","23150","16.035","42.82","6","23259","18.087","47.056","6"
"100528","0.3","0.6","23259","18.087","47.056","6","23258","22.603","52.79","6"
"100529","0.3","0.6","23251","22.014","43.962","6","23256","26.53","49.696","6"
"100530","0.3","0.5","23150","16.035","42.82","6","23251","22.014","43.962","6"
"288","0.3","0.5","23321","7.13005654","55.68545395","6","3277","8.7622326","57.58427809","6"
"372","0.3","0.6","2238","6.4698592","32.9885657","6","23466","7.01284216","32.56074538","6"
"289","0.3","0.5","3277","8.7622326","57.58427809","6","23322","11.89398098","61.22765922","6"
"300","0.25","0.4","59","6.05985372","50.74215708","6","23546","4.16464695","52.23558622","6"
"297","0.25","0.5","1087","5.53944129","45.55931723","6","3281","8.25909766","49.00914566","6"
"171","0.3","0.5","23314","0.14586826","51.46126938","6","23318","2.26944017","53.72901535","6"
"188","0.3","0.5","23318","2.26944017","53.72901535","6","23317","5.38737679","57.0586319","6"
"194","0.3","0.5","23317","5.38737679","57.0586319","6","23580","7.10345793","58.89122009","6"
"196","0.3","0.5","23310","2.10280037","45.71985626","6","23316","3.34103944","47.29143123","6"
"197","0.3","0.5","23316","3.34103944","47.29143123","6","23311","4.14429501","48.3109247","6"
"200","0.3","0.5","23311","4.14429501","48.3109247","6","59","6.05985372","50.74215708","6"
"263","0.3","0.5","59","6.05985372","50.74215708","6","105","8.87273628","54.31227599","6"
"269","0.3","0.5","105","8.87273628","54.31227599","6","23312","10.42100239","56.27733994","6"
"195","0.3","0.5","23308","-2.11730003","49.04445267","6","3225","-1.09201477","50.13934542","6"
"199","0.3","0.5","3225","-1.09201477","50.13934542","6","23314","0.14586826","51.46126938","6"
"2277","0.3","0.5","2193","7.05971719","12.38434986","6","2195","7.32","11.852","6"
"2279","0.3","0.5","2205","32.699","35.548","6","2210","35.12917298","38.62886354","6"
"2280","0.3","0.5","2210","35.12917298","38.62886354","6","2178","36.32189115","40.14108578","6"
"250","0.3","0.5","8112","4.9519309","27.59650674","6","2251","5.34086213","25.7440123","6"
"290","0.3","0.5","23323","-0.00724983","47.38215447","6","3226","0.9705325","48.51967006","6"
"291","0.3","0.5","3226","0.9705325","48.51967006","6","23319","2.14546133","49.88696968","6"
"100657","0.3","0.6","105","8.87273628","54.31227599","6","23321","7.13005654","55.68545395","6"
"2281","0.2","0.6","2211","42.10830755","35.58534108","6","2212","42.81532614","35.02909911","6"
"100645","0.3","0.5","23319","2.14546133","49.88696968","6","23546","4.16464695","52.23558622","6"
"100646","0.3","0.5","23546","4.16464695","52.23558622","6","23321","7.13005654","55.68545395","6"
"346","0.25","0.4","23546","4.16464695","52.23558622","6","23318","2.26944017","53.72901535","6"
"100658","0.3","0.6","23321","7.13005654","55.68545395","6","23317","5.38737679","57.0586319","6"
"295","0.3","0.6","23254","18.839","55.755","6","23436","15.59098816","58.31480026","6"
"296","0.3","0.6","23436","15.59098816","58.31480026","6","23313","13.39163017","60.04766846","6"
"100649","0.3","0.5","23580","7.10345793","58.89122009","6","23309","10.39633179","62.40764999","6"
"100650","0.3","0.5","23312","10.42100239","56.27733994","6","23313","13.39163017","60.04766846","6"
"298","0.25","0.5","3274","11.07201714","52.57931043","6","23436","15.59098816","58.31480026","6"
"299","0.3","0.6","23261","14.32","50.02","6","3274","11.07201714","52.57931043","6"
"342","0.3","0.6","3274","11.07201714","52.57931043","6","105","8.87273628","54.31227599","6"
"292","0.3","0.6","23255","8.789","42.999","6","1087","5.53944129","45.55931723","6"
"379","0.3","0.6","1087","5.53944129","45.55931723","6","23316","3.34103944","47.29143123","6"
"381","0.25","0.5","3281","8.25909766","49.00914566","6","3274","11.07201714","52.57931043","6"
"385","0.3","0.6","23260","11.508","46.449","6","3281","8.25909766","49.00914566","6"
"386","0.3","0.6","3281","8.25909766","49.00914566","6","59","6.05985372","50.74215708","6"
"390","0.3","0.6","23311","4.14429501","48.3109247","6","23319","2.14546133","49.88696968","6"
"391","0.3","0.6","23319","2.14546133","49.88696968","6","23314","0.14586826","51.46126938","6"
"487","0.4","0.7","2032","6.34632211","31.71414363","6","23466","7.01284216","32.56074538","6"
"2282","0.3","0.5","2213","5.627","15.311","6","2193","7.05971719","12.38434986","6"
"2283","0.3","0.5","2214","4.18","18.266","6","2213","5.627","15.311","6"
"2284","0.3","0.5","2215","2.775","21.136","6","2214","4.18","18.266","6"
"2285","0.3","0.5","2216","1.45097967","23.84004187","6","2215","2.775","21.136","6"
"255","0.3","0.5","2072","0","25.169","6","2234","0.63144251","25.23698303","6"
"2287","0.4","0.7","2070","2.128","20.819","6","2215","2.775","21.136","6"
"2288","0.4","0.7","2215","2.775","21.136","6","2129","7.548","23.472","6"
"2289","0.4","0.7","2069","3.532","17.948","6","2214","4.18","18.266","6"
"2290","0.4","0.7","2214","4.18","18.266","6","2130","8.975","20.613","6"
"2291","0.4","0.7","2067","4.977","14.993","6","2213","5.627","15.311","6"
"2292","0.4","0.7","2213","5.627","15.311","6","2131","10.44681455","17.66834469","6"
"2293","0.3","0.5","2195","7.32","11.852","6","2217","9.59","12.961","6"
"2294","0.3","0.5","2217","9.59","12.961","6","2199","12.167","14.219","6"
"2297","0.4","0.5","2219","21.24","35.685","6","51","22.94454417","36.67555404","6"
"2299","0.4","0.5","2221","23.923","37.11","6","2222","25.387","37.529","6"
"2300","0.4","0.5","2222","25.387","37.529","6","2223","26.895","37.74","6"
"2301","0.4","0.5","2223","26.895","37.74","6","2185","28.417","37.739","6"
"2302","0.4","0.5","2027","13.543","27.419","6","2224","13.627","28.479","6"
"2303","0.4","0.5","2224","13.627","28.479","6","2225","13.99","30.414","6"
"2304","0.4","0.5","2225","13.99","30.414","6","2226","14.619","32.281","6"
"2305","0.4","0.5","2226","14.619","32.281","6","2227","15.501","34.041","6"
"2306","0.4","0.5","2227","15.501","34.041","6","2035","16.62","35.662","6"
"2307","0.4","0.5","2228","16.712","26.588","6","2229","16.782","28.113","6"
"2308","0.4","0.5","2229","16.782","28.113","6","2230","17.063","29.613","6"
"2309","0.4","0.5","2230","17.063","29.613","6","2231","17.55","31.059","6"
"2310","0.4","0.5","2231","17.55","31.059","6","2232","18.234","32.424","6"
"2311","0.4","0.5","2232","18.234","32.424","6","2036","19.101","33.68","6"
"2313","0.4","0.7","2077","30.332","6.473","6","2039","30.332","9.473","6"
"2314","0.4","0.7","2039","30.332","9.473","6","2115","30.332","12.973","6"
"373","0.3","0.6","3900","8.73591363","31.20407699","6","23465","11.06138193","29.37301428","6"
"375","0.3","0.4","2140","9.806","27.93","6","23465","11.06138193","29.37301428","6"
"380","0.4","0.9","2235","1.379","36.365","6","3898","1.58981803","36.83074959","6"
"2315","0.3","0.4","2134","18.721","11.373","6","2233","22.091","9.474","6"
"2316","0.25","0.4","2233","22.091","9.474","6","2158","24.649","9.473","6"
"2317","0.4","0.7","2082","22.091","6.474","6","2233","22.091","9.474","6"
"2318","0.4","0.7","2233","22.091","9.474","6","2135","22.091","13.874","6"
"394","0.4","0.9","3898","1.58981803","36.83074959","6","3408","3.56510765","41.1946568","6"
"392","0.3","0.4","23425","0.04999244","41.18469177","6","3453","1.07639641","43.45227402","6"
"445","0.4","0.9","3408","3.56510765","41.1946568","6","1087","5.53944129","45.55931723","6"
"460","0.3","0.5","2142","0.443","31.777","6","1088","1.09478493","32.12151113","6"
"2322","0.3","0.5","2139","9.918","24.632","6","2027","13.543","27.419","6"
"2323","0.4","0.6","2237","0.782","36.835","6","2235","1.379","36.365","6"
"2324","0.3","0.5","2142","0.443","31.777","6","2237","0.782","36.835","6"
"2128","0.4","0.7","4850","4.563","29.449","6","2032","6.34632211","31.71414363","6"
"467","0.3","0.5","1088","1.09478493","32.12151113","6","665","2.89441272","33.07273258","6"
"2327","0.4","0.7","665","2.89441272","33.07273258","6","4850","4.563","29.449","6"
"2329","0.3","0.5","2171","1.04898916","31.4348384","6","1088","1.09478493","32.12151113","6"
"2331","0.3","0.5","2243","6.084","29.008","6","2038","6.203","26.166","6"
"2129","0.3","0.5","2243","6.084","29.008","6","2140","9.806","27.93","6"
"2332","0.3","0.5","2140","9.806","27.93","6","2027","13.543","27.419","6"
"2334","0.4","0.5","2228","16.712","26.588","6","2245","16.771","25.9","6"
"2335","0.4","0.5","2245","16.771","25.9","6","2028","16.862","24.84","6"
"2127","0.3","0.5","4850","4.563","29.449","6","2243","6.084","29.008","6"
"2173","0.3","0.5","2243","6.084","29.008","6","2032","6.34632211","31.71414363","6"
"393","0.3","0.6","23466","7.01284216","32.56074538","6","3900","8.73591363","31.20407699","6"
"2174","0.3","0.5","2032","6.34632211","31.71414363","6","2238","6.4698592","32.9885657","6"
"446","0.4","0.9","23255","8.789","42.999","6","3409","6.87928357","38.58429386","6"
"447","0.4","0.9","3409","6.87928357","38.58429386","6","2595","4.96956771","34.16958845","6"
"457","0.3","0.6","23465","11.06138193","29.37301428","6","2027","13.543","27.419","6"
"2337","0.4","0.7","2188","33.916","42.036","6","2246","35.52","40.773","6"
"2338","0.4","0.7","2246","35.52","40.773","6","2178","36.32189115","40.14108578","6"
"2339","0.4","0.7","2186","30.295","37.439","6","2247","31.897","36.178","6"
"2340","0.4","0.7","2247","31.897","36.178","6","2205","32.699","35.548","6"
"2210","0.3","0.5","2141","0.287","29.449","6","2170","0.91601663","29.44899888","6"
"461","0.3","0.5","665","2.89441272","33.07273258","6","2595","4.96956771","34.16958845","6"
"459","0.4","0.5","2218","20.073","34.708","6","4694","20.6565","35.1965","6"
"448","0.4","0.9","23253","12.556","40.035","6","23505","10.64594844","35.61951913","6"
"449","0.4","0.9","23505","10.64594844","35.61951913","6","3900","8.73591363","31.20407699","6"
"2213","0.3","0.5","2170","0.91601663","29.44899888","6","4850","4.563","29.449","6"
"387","0.4","0.9","2235","1.379","36.365","6","23425","0.04999244","41.18469177","6"
"2345","0.3","0.5","2207","38.392","31.06","6","2253","41.759","28.414","6"
"2346","0.3","0.6","2252","41.885","28.576","6","2253","41.759","28.414","6"
"388","0.4","0.9","23425","0.04999244","41.18469177","6","23308","-2.11730003","49.04445267","6"
"2341","0.3","0.5","2210","35.12917298","38.62886354","6","2176","36.27391049","37.72588635","6"
"2342","0.3","0.5","2159","45.778","36.766","6","2060","47.361","35.517","6"
"450","0.3","0.4","3453","1.07639641","43.45227402","6","23310","2.10280037","45.71985626","6"
"453","0.25","0.4","3453","1.07639641","43.45227402","6","3454","-1.0336538","45.11457223","6"
"253","0.3","0.5","275","0.77491482","27.34821196","6","2170","0.91601663","29.44899888","6"
"261","0.3","0.5","2234","0.63144251","25.23698303","6","1446","0.7656961","25.25081913","6"
"258","0.3","0.5","1446","0.7656961","25.25081913","6","2251","5.34086213","25.7440123","6"
"260","0.3","0.5","1446","0.7656961","25.25081913","6","2216","1.45097967","23.84004187","6"
"264","0.3","0.5","2234","0.63144251","25.23698303","6","275","0.77491482","27.34821196","6"
"469","0.4","0.5","4694","20.6565","35.1965","6","2219","21.24","35.685","6"
"2347","0.5","0.6","2106","41.76","26.51","6","2253","41.759","28.414","6"
"466","0.4","0.7","2235","1.379","36.365","6","665","2.89441272","33.07273258","6"
"478","0.3","0.5","1088","1.09478493","32.12151113","6","2235","1.379","36.365","6"
"492","0.3","0.5","2235","1.379","36.365","6","2595","4.96956771","34.16958845","6"
"2214","0.3","0.5","2142","0.443","31.777","6","2171","1.04898916","31.4348384","6"
"2215","0.3","0.5","2171","1.04898916","31.4348384","6","4850","4.563","29.449","6"
"2218","0.4","0.7","2071","0.805","23.524","6","2216","1.45097967","23.84004187","6"
"2219","0.4","0.7","2216","1.45097967","23.84004187","6","2251","5.34086213","25.7440123","6"
"2220","0.4","0.7","2251","5.34086213","25.7440123","6","2038","6.203","26.166","6"
"2221","0.4","0.7","2198","12.58774677","6.47566667","6","2250","15.723","6.476","6"
"2222","0.3","0.6","2250","15.723","6.476","6","2078","16.033","6.474","6"
"2223","0.4","0.5","2146","18.393","16.19","6","2124","18.96908526","15.74089065","6"
"2224","0.4","0.5","2124","18.96908526","15.74089065","6","2147","19.559","15.281","6"
"2225","0.3","0.5","2124","18.96908526","15.74089065","6","2086","19.806","19.179","6"
"2226","0.25","0.4","2126","34.53554686","19.61074825","6","2209","35.453","22.334","6"
